time,USA/CPI.EODHDEconomicEvents
2022-01-04,277.948
2022-01-05,277.948
2022-01-06,277.948
2022-01-07,277.948
2022-01-08,277.948
2022-01-09,277.948
2022-01-10,277.948
2022-01-11,277.948
2022-02-02,278.802
2022-02-03,278.802
2022-02-04,278.802
2022-02-05,278.802
2022-02-06,278.802
2022-02-07,278.802
2022-02-08,278.802
2022-02-09,278.802
2022-03-02,281.148
2022-03-03,281.148
2022-03-04,281.148
2022-03-05,281.148
2022-03-06,281.148
2022-03-07,281.148
2022-03-08,281.148
2022-03-09,281.148
2022-04-04,283.716
2022-04-05,283.716
2022-04-06,283.716
2022-04-07,283.716
2022-04-08,283.716
2022-04-09,283.716
2022-04-10,283.716
2022-04-11,283.716
2022-05-03,287.504
2022-05-04,287.504
2022-05-05,287.504
2022-05-06,287.504
2022-05-07,287.504
2022-05-08,287.504
2022-05-09,287.504
2022-05-10,287.504
2022-06-02,289.109
2022-06-03,289.109
2022-06-04,289.109
2022-06-05,289.109
2022-06-06,289.109
2022-06-07,289.109
2022-06-08,289.109
2022-06-09,289.109
2022-07-05,292.296
2022-07-06,292.296
2022-07-07,292.296
2022-07-08,292.296
2022-07-09,292.296
2022-07-10,292.296
2022-07-11,292.296
2022-07-12,292.296
2022-08-02,296.311
2022-08-03,296.311
2022-08-04,296.311
2022-08-05,296.311
2022-08-06,296.311
2022-08-07,296.311
2022-08-08,296.311
2022-08-09,296.311
2022-09-05,296.276
2022-09-06,296.276
2022-09-07,296.276
2022-09-08,296.276
2022-09-09,296.276
2022-09-10,296.276
2022-09-11,296.276
2022-09-12,296.276
2022-10-05,296.171
2022-10-06,296.171
2022-10-07,296.171
2022-10-08,296.171
2022-10-09,296.171
2022-10-10,296.171
2022-10-11,296.171
2022-10-12,296.171
2022-11-02,296.808
2022-11-03,296.808
2022-11-04,296.808
2022-11-05,296.808
2022-11-06,296.808
2022-11-07,296.808
2022-11-08,296.808
2022-11-09,296.808
2022-12-05,298.012
2022-12-06,298.012
2022-12-07,298.012
2022-12-08,298.012
2022-12-09,298.012
2022-12-10,298.012
2022-12-11,298.012
2022-12-12,298.012
2023-01-04,297.711
2023-01-05,297.711
2023-01-06,297.711
2023-01-07,297.711
2023-01-08,297.711
2023-01-09,297.711
2023-01-10,297.711
2023-01-11,297.711
2023-02-06,296.797
